"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.54,0.848,10,-10.905,1,0.148,0.216,0.00235,0.356,0.702,106.56,"4oTK4LPHxvvSKMPcRDOARt","https://api.spotify.com/v1/audio-analysis/4oTK4LPHxvvSKMPcRDOARt",4,1,1685915,TRUE,"https://api.spotify.com/v1/tracks/4oTK4LPHxvvSKMPcRDOARt",FALSE,"Flash Light - Live","https://p.scdn.co/mp3-preview/25b8f9a2ad2f3500174bf324416484b19de998c7?cid=e188d9db0a404bde8520197a511c47e2",11,"track","spotify:track:4oTK4LPHxvvSKMPcRDOARt","https://open.spotify.com/track/4oTK4LPHxvvSKMPcRDOARt","The Mind Of The Universe (Live Passaic '78)","A#","major","A# major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.565,0.883,4,-11.681,0,0.177,0.206,0,0.913,0.449,109.87,"2feZ0T8AO9XmtQYOmQi7By","https://api.spotify.com/v1/audio-analysis/2feZ0T8AO9XmtQYOmQi7By",4,1,486455,TRUE,"https://api.spotify.com/v1/tracks/2feZ0T8AO9XmtQYOmQi7By",FALSE,"One Nation Under A Groove (Reprise) - Live","https://p.scdn.co/mp3-preview/4553f5edb1310b3429f5d60b8266d0b3a55b29dc?cid=e188d9db0a404bde8520197a511c47e2",12,"track","spotify:track:2feZ0T8AO9XmtQYOmQi7By","https://open.spotify.com/track/2feZ0T8AO9XmtQYOmQi7By","The Mind Of The Universe (Live Passaic '78)","E","minor","E minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","70h8Qw7SrBHwV10S8vffKQ","album","2022-10-07",2022,"day",0.401,0.909,6,-6.925,0,0.111,0.387,0.0129,0.212,0.556,111.32,"4Zo6eZpzDMLd26c2xp3Ig8","https://api.spotify.com/v1/audio-analysis/4Zo6eZpzDMLd26c2xp3Ig8",4,1,502240,FALSE,"https://api.spotify.com/v1/tracks/4Zo6eZpzDMLd26c2xp3Ig8",FALSE,"Cosmic Slop / Jam - Live","https://p.scdn.co/mp3-preview/da11ddf5e43e8d2676ee62c5249361e9f9141fa5?cid=e188d9db0a404bde8520197a511c47e2",1,"track","spotify:track:4Zo6eZpzDMLd26c2xp3Ig8","https://open.spotify.com/track/4Zo6eZpzDMLd26c2xp3Ig8","Live In Washington DC 1977","F#","minor","F# minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","70h8Qw7SrBHwV10S8vffKQ","album","2022-10-07",2022,"day",0.605,0.874,2,-7.951,1,0.233,0.571,0.00102,0.779,0.601,110.205,"5m0ZYUKvggYdEeqZipG8Rw","https://api.spotify.com/v1/audio-analysis/5m0ZYUKvggYdEeqZipG8Rw",4,1,1664026,FALSE,"https://api.spotify.com/v1/tracks/5m0ZYUKvggYdEeqZipG8Rw",FALSE,"Bop Gun / Jam / Take Your Dead Ass Home! (Say Som'n Nasty) / Jam / Intro to... - Live","https://p.scdn.co/mp3-preview/d545e1209e2fdb01bf06603d52432b242035644b?cid=e188d9db0a404bde8520197a511c47e2",2,"track","spotify:track:5m0ZYUKvggYdEeqZipG8Rw","https://open.spotify.com/track/5m0ZYUKvggYdEeqZipG8Rw","Live In Washington DC 1977","D","major","D major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","70h8Qw7SrBHwV10S8vffKQ","album","2022-10-07",2022,"day",0.621,0.896,6,-7.409,0,0.141,0.311,0.000106,0.859,0.571,95.931,"5k41vl6gBjM9IsmOpDOjko","https://api.spotify.com/v1/audio-analysis/5k41vl6gBjM9IsmOpDOjko",4,1,692973,FALSE,"https://api.spotify.com/v1/tracks/5k41vl6gBjM9IsmOpDOjko",FALSE,"Mothership Connection (Star Child) / Jam / Swing Down, Sweet Chariot - Live","https://p.scdn.co/mp3-preview/e3465bff127a07bf169ef75fabb0793196d43a56?cid=e188d9db0a404bde8520197a511c47e2",3,"track","spotify:track:5k41vl6gBjM9IsmOpDOjko","https://open.spotify.com/track/5k41vl6gBjM9IsmOpDOjko","Live In Washington DC 1977","F#","minor","F# minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","70h8Qw7SrBHwV10S8vffKQ","album","2022-10-07",2022,"day",0.389,0.882,10,-7.421,1,0.0533,0.216,0.0136,0.376,0.517,106.129,"5RGeTEbse3uvgDThsMsX25","https://api.spotify.com/v1/audio-analysis/5RGeTEbse3uvgDThsMsX25",4,1,839120,FALSE,"https://api.spotify.com/v1/tracks/5RGeTEbse3uvgDThsMsX25",FALSE,"Flash Light / Jam / Get Off Your Ass and Jam - Live","https://p.scdn.co/mp3-preview/912b6619593a21965d3f66d112df213bbf89c058?cid=e188d9db0a404bde8520197a511c47e2",4,"track","spotify:track:5RGeTEbse3uvgDThsMsX25","https://open.spotify.com/track/5RGeTEbse3uvgDThsMsX25","Live In Washington DC 1977","A#","major","A# major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.285,0.92,2,-8.121,1,0.178,0.0567,0.00577,0.318,0.439,117.227,"7IvIutclPMzDAh42PkpM8Q","https://api.spotify.com/v1/audio-analysis/7IvIutclPMzDAh42PkpM8Q",4,1,610786,FALSE,"https://api.spotify.com/v1/tracks/7IvIutclPMzDAh42PkpM8Q",FALSE,"Kezy Intro / Cosmic Slop / Jam / Red Hot Mama - Live","https://p.scdn.co/mp3-preview/0c248d6ded7a76ab767388c1b2a17838fe090f0b?cid=e188d9db0a404bde8520197a511c47e2",1,"track","spotify:track:7IvIutclPMzDAh42PkpM8Q","https://open.spotify.com/track/7IvIutclPMzDAh42PkpM8Q","Ebbet's Field, Denver, Co October 1976","D","major","D major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.324,0.949,2,-9.495,1,0.751,0.0209,0.00117,0.347,0.215,191.925,"1ZzNyXOLWmZscfoEjGcS3Z","https://api.spotify.com/v1/audio-analysis/1ZzNyXOLWmZscfoEjGcS3Z",4,1,749146,FALSE,"https://api.spotify.com/v1/tracks/1ZzNyXOLWmZscfoEjGcS3Z",FALSE,"Let's Take It to the Stage / Take Your Dead Ass Home (Say Som'n Nasty) - Live","https://p.scdn.co/mp3-preview/617dd91e50bad897cbea8f4fd2dc4ba84b300688?cid=e188d9db0a404bde8520197a511c47e2",2,"track","spotify:track:1ZzNyXOLWmZscfoEjGcS3Z","https://open.spotify.com/track/1ZzNyXOLWmZscfoEjGcS3Z","Ebbet's Field, Denver, Co October 1976","D","major","D major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.404,0.974,9,-8.287,0,0.342,0.142,0.0025,0.284,0.406,115.384,"1lxRWEWA7O6sIbACNoZksv","https://api.spotify.com/v1/audio-analysis/1lxRWEWA7O6sIbACNoZksv",4,1,381133,FALSE,"https://api.spotify.com/v1/tracks/1lxRWEWA7O6sIbACNoZksv",FALSE,"Do That Stuff - Live","https://p.scdn.co/mp3-preview/9bff8a4e400a72d5fccf2cbf1d1a1e9490bd6604?cid=e188d9db0a404bde8520197a511c47e2",3,"track","spotify:track:1lxRWEWA7O6sIbACNoZksv","https://open.spotify.com/track/1lxRWEWA7O6sIbACNoZksv","Ebbet's Field, Denver, Co October 1976","A","minor","A minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","6xwcfeGKb3qqnt9PV6bk3E","album","2022-04-29",2022,"day",0.508,0.923,2,-10.498,0,0.235,0.0136,0.0568,0.0689,0.344,98.745,"1yHg73zqBfM6Kc5xmdUrKs","https://api.spotify.com/v1/audio-analysis/1yHg73zqBfM6Kc5xmdUrKs",4,1,470746,FALSE,"https://api.spotify.com/v1/tracks/1yHg73zqBfM6Kc5xmdUrKs",FALSE,"Undisco Kidd - Live","https://p.scdn.co/mp3-preview/95fd0719fba2234384e58400cc919677f8e963e8?cid=e188d9db0a404bde8520197a511c47e2",4,"track","spotify:track:1yHg73zqBfM6Kc5xmdUrKs","https://open.spotify.com/track/1yHg73zqBfM6Kc5xmdUrKs","Ebbet's Field, Denver, Co October 1976","D","minor","D minor"
